throughput,findClus,kernelLineFit3,kernelLineFit4,kernel_connect,getHits,kernel_find_ntuplets,fishbone,clusterChargeCut,calibDigis,kernelLineFit5,kernel_fillHitDetIndices,kernel_earlyDuplicateRemover,kernel_countMultiplicity,kernel_fastDuplicateRemover,kernel_countHitInTracks,kernel_doStatsForTracks
1117.88,224,160,32,96,256,192,160,32,192,32,256,96,160,96,128,224
1188.78,128,96,256,192,256,32,96,96,256,192,96,128,160,96,128,256
1214.26,96,160,32,32,64,160,64,160,32,64,32,96,256,32,192,256
1147.82,224,128,32,160,192,64,256,224,192,224,64,128,224,64,160,192
1151.72,64,32,64,160,64,256,192,64,96,64,96,64,192,64,64,96
1165.07,160,224,192,160,256,32,224,96,192,32,128,96,32,32,192,160
1158.67,96,160,192,96,128,256,224,224,160,160,128,192,128,128,192,224
1153.66,96,128,32,256,256,256,64,64,256,192,224,96,96,96,96,32
1207.15,96,256,64,224,192,160,160,128,128,192,224,128,160,256,128,128
1135.82,256,96,256,96,128,192,160,96,224,32,224,192,192,224,256,32
1108.8,224,64,256,128,64,256,192,192,256,160,64,96,192,96,64,192
1196.46,128,256,128,192,256,96,32,192,224,96,160,128,160,128,64,96
1221.6,96,160,256,64,128,96,96,224,128,160,224,32,160,224,224,32
1213.45,128,128,96,192,192,160,32,128,96,128,160,128,128,160,192,128
1117.53,224,64,32,160,64,256,160,32,96,192,192,32,192,224,160,64
1185.09,96,160,224,32,192,64,256,192,224,96,160,256,128,96,32,128
1143.29,192,128,224,160,256,224,192,96,32,160,96,96,224,32,160,256
1189.64,96,192,160,256,64,32,64,64,256,256,96,192,32,64,256,64
1152.02,256,128,32,256,192,256,96,96,64,224,224,128,256,256,128,160
1198.15,128,256,32,96,128,128,64,32,160,256,224,128,224,32,160,64
1165.49,192,224,160,128,256,96,64,32,96,192,224,192,256,128,64,96
1184.0,128,128,128,64,64,224,96,64,64,160,160,128,96,224,96,224
1165.62,96,160,128,96,256,256,32,160,192,96,224,128,160,128,64,64
1141.16,256,160,96,128,256,128,192,32,128,224,160,128,192,32,192,256
1205.92,192,192,32,32,128,128,160,64,96,256,160,64,32,192,96,64
1194.96,192,32,96,256,256,32,64,256,32,160,32,224,256,192,32,160
1163.91,160,256,192,64,64,256,160,64,32,64,224,64,96,32,128,96
1169.54,160,224,32,32,64,192,224,224,128,64,128,192,192,160,224,224
1169.07,160,32,192,224,128,32,64,32,224,96,160,32,224,160,224,32
1196.95,160,256,32,192,192,64,256,192,64,192,160,192,96,64,160,32
1145.65,64,224,192,256,128,192,224,160,256,256,224,96,160,96,192,96
1146.99,224,224,128,96,64,192,96,224,256,128,128,160,192,64,224,96
1179.53,256,256,192,160,128,160,64,192,128,224,224,224,256,256,64,256
1150.06,160,64,192,64,192,256,192,96,192,32,192,128,256,96,128,32
1183.03,96,192,256,64,256,96,192,224,192,256,64,160,256,160,224,256
1155.99,192,192,192,192,192,160,192,192,96,224,32,160,128,96,192,160
1179.47,64,128,64,32,64,256,96,64,64,64,32,128,256,64,256,256
1186.99,192,256,32,96,64,96,96,224,224,224,160,256,32,256,160,32
1202.39,192,160,256,96,256,96,96,256,64,64,128,192,256,224,128,224
1183.48,64,224,192,192,192,160,160,224,64,192,224,32,160,96,128,128
1189.96,64,224,96,256,64,96,224,128,32,96,64,256,192,160,64,192
1154.16,192,128,160,32,256,192,192,256,64,160,224,192,128,224,160,192
1207.02,64,96,128,96,64,64,96,96,160,192,32,256,96,224,256,128
1205.13,160,192,96,64,64,32,160,128,32,160,128,32,64,96,64,224
1157.55,128,128,32,224,256,256,32,32,128,192,64,160,96,128,224,160
1179.52,96,256,128,192,128,256,128,192,32,32,224,160,96,96,256,96
1131.22,192,128,128,64,64,256,192,192,224,96,64,160,32,96,32,32
1129.23,224,224,160,32,128,256,256,96,128,192,160,160,224,128,64,192
1204.7,96,64,256,224,128,128,32,64,192,256,160,64,32,160,32,32
1197.88,64,128,64,256,128,64,192,192,128,64,256,224,64,224,64,32
1160.47,64,96,128,160,256,64,192,32,160,192,256,32,32,160,256,160
1162.96,160,160,256,128,192,224,224,128,128,192,128,64,192,160,128,64
1150.58,192,192,192,32,64,64,160,32,192,96,96,96,192,192,160,32
1174.33,64,256,192,192,128,224,32,224,96,256,96,128,128,96,224,96
1210.58,128,128,64,64,256,64,96,128,192,192,32,256,192,256,160,192
1158.95,256,192,160,192,64,64,96,224,256,160,96,256,160,192,192,256
1224.1,96,128,64,32,128,96,192,64,128,64,192,128,224,128,256,192
1187.57,96,224,128,96,128,192,160,64,160,96,224,128,256,32,96,32
1177.68,224,128,64,128,192,128,64,224,256,96,256,128,64,96,256,256
1145.28,256,96,96,256,256,256,128,128,128,96,32,224,224,32,160,160
1226.53,96,256,160,128,128,64,64,128,160,224,32,160,256,64,192,256
1192.22,96,32,160,256,64,128,64,160,192,32,160,224,96,224,256,256
1215.74,128,32,96,32,64,128,32,224,160,64,160,64,32,64,160,224
1197.9,128,96,64,224,256,64,160,224,192,160,96,224,128,64,128,224
1192.44,192,224,96,224,192,64,192,192,96,224,64,64,256,32,256,160
1205.54,160,192,128,192,128,128,192,64,160,256,224,128,256,128,192,224
1170.03,160,64,192,64,256,192,256,256,64,192,96,128,192,64,224,128
1221.41,192,128,128,128,128,32,32,128,96,96,32,32,64,128,224,192
1144.22,256,32,160,128,192,256,96,256,64,160,96,32,192,128,224,96
1156.82,224,160,224,128,128,32,160,32,64,224,160,160,128,64,256,128
1198.49,64,192,64,64,192,96,128,32,32,224,192,256,32,96,32,96
1206.07,128,128,64,96,192,96,224,128,160,224,96,256,32,192,224,64
1176.64,64,256,224,32,64,128,224,128,256,256,160,160,128,160,192,192
1199.7,96,64,64,32,256,32,32,64,256,256,32,128,128,128,128,224
1171.44,192,256,224,32,192,224,32,96,96,192,64,128,96,32,192,128
1204.03,192,128,32,128,256,32,32,64,32,224,224,96,96,256,32,256
1143.64,256,96,128,128,192,192,192,96,160,224,256,128,128,160,256,160
1187.69,64,192,256,128,64,64,224,192,32,192,192,64,96,64,96,256
1124.57,256,192,192,96,192,224,192,128,32,160,256,192,128,128,128,32
1224.17,128,256,96,64,128,160,32,96,64,128,128,224,128,32,192,192
1148.02,192,256,96,128,192,224,32,224,256,192,256,96,256,160,192,256
1193.0,128,224,160,192,64,96,192,256,32,32,32,64,192,192,64,128
1207.56,128,192,192,96,128,32,64,96,192,192,256,32,64,160,96,32
1145.62,192,32,160,64,64,160,224,32,96,224,64,160,128,256,256,64
1076.53,224,32,96,192,256,256,224,32,256,128,96,224,224,224,64,224
1108.12,256,224,128,32,64,192,256,256,192,32,96,96,160,256,64,32
1130.49,256,96,192,32,192,192,128,96,224,224,64,64,160,160,192,256
1196.43,64,224,96,64,128,128,224,96,64,192,96,192,224,192,32,128
1185.22,160,32,64,192,128,32,192,64,224,224,256,64,32,256,192,96
1125.51,128,32,224,96,128,224,192,32,256,96,128,192,64,128,256,256
1166.41,96,32,128,128,128,256,96,64,192,96,192,224,32,32,160,32
1150.84,192,128,128,128,256,32,224,160,256,192,160,128,96,96,160,128
1167.26,192,256,192,224,256,128,128,128,256,64,128,64,224,256,160,96
1187.03,160,64,64,224,64,256,64,96,64,160,64,128,64,96,96,32
1177.6,128,32,96,32,64,256,32,64,128,64,64,64,224,256,160,32
1144.54,64,64,192,128,128,160,192,32,256,32,192,128,64,192,128,160
1181.34,192,256,128,256,64,64,128,160,256,160,160,224,160,224,160,192
1160.62,256,224,64,128,256,32,64,160,224,160,96,160,128,32,192,32
1158.82,192,128,256,192,256,224,96,160,128,224,96,32,96,128,256,128
1188.45,256,256,96,192,128,128,32,128,128,160,224,64,256,192,128,32
1212.72,64,192,32,32,256,32,160,128,64,160,64,224,96,32,128,128
1181.94,64,224,128,64,128,192,96,256,192,64,128,128,256,96,224,256
1180.59,256,96,192,128,128,160,96,128,64,32,224,256,160,128,64,192
1169.6,224,160,224,96,64,64,256,224,64,64,224,64,256,64,96,64
1154.52,256,96,64,224,128,192,224,192,128,192,160,64,128,192,160,160
1140.5,256,160,192,128,128,192,160,256,192,64,256,32,64,128,224,192
1150.62,192,256,224,32,192,192,224,192,160,160,192,192,128,192,224,32
1149.78,256,224,128,224,256,32,224,160,32,192,224,256,32,192,192,64
1202.33,160,192,32,128,128,192,64,256,160,160,160,224,256,128,256,64
1214.34,160,128,256,192,64,32,64,224,64,192,64,224,32,128,224,64
1182.95,160,256,64,64,192,224,32,256,128,160,256,160,32,224,256,256
1159.84,224,160,128,64,192,128,256,224,96,128,32,256,128,192,32,64
1172.14,96,64,224,160,256,224,64,128,128,192,256,160,256,96,96,32
1172.69,160,32,256,64,128,32,256,32,64,64,96,224,224,128,32,128
1147.13,224,96,64,224,192,192,160,96,64,160,192,96,256,64,192,96
1132.42,192,64,96,224,64,224,192,160,192,224,128,32,128,224,128,160
1141.98,192,224,64,192,64,224,96,160,256,32,160,160,64,224,160,64
1154.51,256,32,128,32,256,128,224,96,32,64,192,32,128,128,32,128
1151.97,224,192,32,192,64,96,160,128,256,160,128,32,192,192,128,256
1135.94,96,192,192,160,256,224,160,32,128,128,96,96,224,32,96,256
1205.1,96,64,128,32,128,96,96,224,224,32,224,128,256,64,32,192
1198.81,64,224,32,32,256,160,64,64,32,96,32,256,64,128,192,160
1123.19,256,224,64,64,256,192,64,32,224,256,192,128,256,224,192,256
1212.0,160,192,256,224,256,96,128,128,32,192,32,64,256,192,224,128
1147.03,96,128,192,224,64,256,256,96,64,224,160,64,128,96,224,224
1168.31,160,160,64,96,256,32,224,32,160,32,64,96,32,64,96,192
1136.15,224,224,128,128,128,224,96,32,128,224,256,32,160,64,224,256
1209.95,128,64,64,128,192,96,128,64,224,96,224,192,96,32,160,224
1196.79,128,96,160,96,128,128,160,256,224,224,192,32,32,160,224,160
1190.26,192,128,192,32,128,96,192,224,32,128,192,224,64,160,160,224
1191.49,192,256,224,96,192,192,128,128,64,256,256,64,96,160,128,96
1145.73,224,160,128,128,64,256,128,64,32,160,96,224,192,96,192,192
1147.2,64,32,160,64,256,224,64,224,256,96,64,32,224,192,224,192
1210.49,96,32,160,96,64,128,32,64,160,224,96,128,224,64,32,192
1199.56,128,160,64,192,128,192,64,64,256,256,96,32,32,160,128,64
1186.13,256,128,128,256,128,128,128,192,160,64,192,224,192,96,96,192
1120.78,224,192,192,192,192,192,224,160,224,128,64,224,256,128,32,32
1114.72,224,32,160,160,64,256,96,32,32,128,32,128,96,96,224,224
1172.0,128,224,256,256,64,32,224,32,128,96,64,96,64,64,32,160
1160.71,224,224,64,256,256,64,256,224,128,256,64,128,128,128,192,256
1165.78,128,224,32,224,128,128,224,32,224,256,128,96,224,160,224,160
1178.12,160,256,64,224,192,192,128,32,64,96,192,160,256,224,64,192
1186.09,192,32,64,128,192,160,96,256,32,224,64,32,32,160,224,32
1180.86,96,160,128,224,192,192,64,256,224,224,192,160,256,224,192,192
1195.64,64,192,192,96,64,160,64,160,64,96,96,128,160,32,192,128
1127.48,64,128,224,224,192,224,256,32,64,160,192,32,128,32,224,160
1159.63,64,256,160,256,192,160,224,160,224,64,96,128,192,128,192,128
1192.09,96,128,224,128,256,160,192,160,128,32,96,192,256,32,256,160
1155.22,96,32,224,192,256,256,128,160,224,32,64,160,64,160,96,128
1171.9,160,192,256,224,128,192,224,224,160,256,224,32,160,128,256,128
1155.7,256,32,96,256,256,96,128,64,256,128,224,128,192,32,224,128
1181.87,160,32,64,160,64,256,64,192,32,256,128,128,96,128,96,224
1166.68,64,224,224,32,256,64,96,32,160,32,32,192,160,96,256,32
1151.16,256,224,192,128,192,160,256,64,128,64,128,96,64,64,64,96
1132.65,64,256,64,96,192,224,256,32,32,32,128,192,224,256,96,224
1153.71,256,128,192,96,128,192,96,128,96,32,224,192,192,128,160,32
1201.4,128,224,192,128,64,64,160,160,32,64,160,224,96,128,32,192
1129.28,256,192,64,64,192,224,256,160,96,224,160,160,160,256,128,160
1203.21,96,32,64,160,128,160,64,128,192,160,160,256,224,96,64,160
1204.55,128,96,96,32,128,64,192,224,160,128,160,160,224,32,224,192
1150.57,224,224,160,192,256,192,128,128,96,160,96,32,224,256,32,192
1153.03,256,32,128,224,256,64,96,128,224,96,160,32,96,224,128,192
1172.18,64,256,96,160,192,96,192,32,96,96,256,96,256,224,96,256
1147.79,256,96,192,32,192,160,256,64,64,32,224,32,224,64,64,192
1187.18,192,32,256,192,256,96,128,160,96,64,256,160,64,160,96,128
1170.35,64,256,96,96,256,128,256,96,224,128,192,96,64,256,96,96
1157.89,192,128,128,160,256,128,192,32,96,224,32,256,160,96,32,96
1170.27,64,64,192,128,256,192,160,192,96,128,96,192,96,192,160,224
1180.38,64,64,256,192,256,32,256,160,32,96,64,128,160,128,224,256
1228.91,160,256,224,128,128,64,128,96,128,256,256,160,192,64,224,96
1194.27,160,96,128,96,128,224,32,128,32,64,160,256,256,256,64,96
1152.32,192,32,256,224,64,160,160,128,256,32,256,32,32,96,192,64
1170.83,96,256,256,224,64,192,256,224,128,192,64,160,32,224,160,224
1156.61,256,160,64,96,64,160,192,96,160,256,64,32,192,128,96,64
1178.45,256,256,224,160,128,64,128,256,160,32,96,128,160,256,128,128
1181.78,192,64,64,256,192,192,64,64,160,128,64,256,96,32,128,224
1177.62,64,160,192,224,128,96,128,32,160,160,32,256,192,96,128,128
1160.42,160,64,32,160,256,224,256,64,128,224,96,192,192,256,96,256
1167.18,128,224,192,224,128,256,64,64,224,192,128,224,256,128,128,96
1174.54,96,256,96,160,128,192,224,64,160,128,32,64,224,224,64,160
1195.37,96,192,192,96,128,192,96,256,160,192,192,256,160,224,224,256
1195.11,64,256,128,128,128,96,256,192,128,32,64,256,64,192,160,64
1164.6,96,96,160,96,192,256,192,96,64,160,160,96,256,32,256,128
1192.98,160,64,64,32,64,96,192,96,224,96,224,64,32,192,224,192
1165.03,256,128,224,128,192,32,256,192,128,96,160,64,256,192,160,96
1180.87,160,160,256,160,256,192,96,128,160,160,160,192,96,32,192,96
1176.04,256,32,192,96,64,32,32,64,128,96,128,128,64,224,128,192
1147.79,128,96,160,192,64,192,192,192,224,64,96,160,224,128,224,160
1192.76,96,64,64,32,64,96,160,192,256,64,224,160,256,192,256,64
1186.48,64,224,256,224,64,32,32,32,64,64,224,256,32,96,160,64
1115.01,256,224,160,96,192,224,256,192,160,96,64,96,128,64,160,128
1187.05,256,128,64,128,64,32,32,256,32,64,192,96,128,160,160,160
1177.08,192,224,160,96,256,64,96,96,256,192,128,96,32,32,224,128
1133.24,256,160,256,32,64,192,192,64,96,96,256,224,32,32,128,32
1169.66,128,160,128,160,192,64,192,32,192,224,256,160,64,64,32,192
1182.09,128,64,128,32,192,32,64,32,160,160,32,192,128,224,128,32
1190.82,64,128,128,160,256,32,64,224,160,32,128,192,256,96,192,32
1182.14,96,32,64,256,64,128,160,192,224,256,128,96,96,160,64,256
1213.93,96,224,256,256,64,96,96,160,64,160,96,192,32,256,256,128
1182.73,128,64,256,192,192,192,32,64,192,64,160,32,160,256,64,256
1166.99,96,256,256,192,256,128,224,32,32,224,32,160,32,64,192,224
1198.97,192,96,32,96,128,128,224,64,96,192,96,64,224,96,192,64
1135.18,160,128,256,32,64,224,192,32,128,256,224,224,128,96,160,32
1181.07,64,256,224,256,256,32,192,64,32,32,64,224,192,128,32,256
1156.19,224,64,224,128,64,96,192,160,32,192,160,96,128,224,224,224
1171.38,256,64,128,192,256,32,32,160,128,224,32,96,32,96,96,160
1158.32,160,256,160,160,256,192,224,128,160,224,32,256,32,96,96,64
1150.66,224,128,224,256,64,160,192,256,96,192,96,256,224,160,160,32
1153.57,256,256,192,160,256,96,192,128,160,224,160,160,96,96,192,64
1164.85,128,64,256,160,128,224,256,64,32,32,192,256,64,128,64,160
1217.25,96,64,256,32,128,64,32,96,192,128,256,96,256,128,256,256
1169.66,64,128,224,128,256,128,224,64,224,256,64,128,160,64,64,256
1198.3,96,160,64,160,192,128,224,192,32,32,256,160,64,256,256,128
1156.43,96,64,128,32,64,256,224,224,128,64,224,96,128,96,160,96
1179.08,96,96,128,64,64,160,96,32,32,32,160,160,256,128,192,64
1166.11,256,32,64,192,128,32,192,160,128,96,96,224,160,224,256,224
1179.84,64,32,192,256,64,32,32,128,192,256,192,96,224,64,64,32
1159.26,96,224,128,256,192,192,256,256,192,128,96,64,128,96,160,64
1169.65,224,32,256,32,128,128,256,192,96,96,224,256,192,96,32,160
1201.81,64,128,192,64,256,128,96,96,64,224,256,256,192,128,224,192
1149.38,256,32,160,192,256,128,192,192,64,160,128,160,224,256,128,128
1179.78,64,32,224,160,256,64,32,224,256,224,32,256,192,128,160,64
1188.33,192,96,224,224,128,64,128,64,192,128,32,160,192,224,32,256
1133.45,224,96,192,64,256,192,96,160,192,96,224,192,128,96,128,32
1148.92,224,64,96,192,64,160,256,192,64,96,128,32,32,160,192,128
1181.39,128,224,224,256,192,128,160,96,224,32,32,64,192,192,32,160
1179.17,160,224,32,160,256,32,224,192,160,160,192,160,192,160,32,160
1144.67,224,160,128,160,64,192,64,128,192,96,192,160,256,96,160,32
1143.28,256,128,192,256,256,64,160,160,256,96,32,64,96,64,32,128
1161.25,224,96,192,192,128,192,32,64,128,160,160,128,256,64,192,224
1134.47,192,256,192,160,64,224,256,256,128,128,160,32,64,224,192,224
1181.99,96,128,192,160,128,32,224,96,96,96,192,224,96,64,128,128
1147.44,256,160,224,256,192,160,192,256,96,64,160,160,224,32,64,32
1139.01,160,96,128,64,128,256,96,32,224,96,64,64,160,128,96,64
1150.36,192,96,32,128,192,224,64,160,224,192,160,160,256,160,160,224
1183.0,192,32,256,64,128,32,256,256,32,96,128,160,64,64,96,128
1152.45,160,160,224,64,192,192,256,64,224,224,96,32,32,128,64,96
1151.21,96,96,192,96,192,256,256,224,128,160,32,128,64,96,192,96
1170.38,64,96,256,160,64,32,160,32,96,256,64,256,160,224,96,256
1163.41,256,256,64,32,192,192,32,256,160,128,96,64,224,32,32,96
1215.8,64,96,96,96,192,32,32,256,32,192,64,192,256,256,160,256
1173.32,128,160,224,160,256,160,160,192,256,96,256,96,192,64,32,160
1208.28,128,160,256,32,256,160,96,256,128,160,224,160,96,64,160,96
1209.24,192,32,64,32,256,96,96,256,64,160,160,192,224,160,32,224
1208.04,160,96,128,256,128,32,128,128,160,64,32,224,32,64,96,32
1159.61,256,192,256,160,256,32,256,224,96,128,256,192,32,64,32,192
1129.88,128,64,256,128,64,256,192,32,224,32,64,192,64,224,224,224
1224.93,96,160,96,160,192,128,32,224,128,64,96,160,32,128,32,64
1230.23,128,64,224,64,192,64,32,64,64,32,160,224,96,64,160,32
1195.62,64,128,64,32,256,160,64,128,192,32,32,256,96,96,192,160
1195.41,192,96,224,96,256,32,32,128,160,256,256,256,160,128,256,128
1139.49,224,128,224,160,64,96,224,192,224,224,160,128,128,128,192,160
1209.78,192,96,96,256,128,96,64,160,128,64,160,128,160,160,224,128
1129.74,64,64,224,192,64,224,160,32,160,64,32,32,64,128,64,256
1191.54,224,224,32,32,128,64,128,64,32,160,224,128,32,32,256,64
1167.99,96,64,160,160,64,256,64,64,64,64,32,128,64,256,224,32
1187.64,160,224,192,32,192,64,32,32,160,192,224,96,256,192,32,96
1155.37,256,224,256,224,64,96,160,96,192,160,96,32,192,160,224,224
1180.18,192,32,128,96,192,64,128,160,256,192,64,160,224,96,224,256
1165.53,64,32,96,96,64,256,32,128,160,160,192,256,64,256,64,128
1201.69,96,192,64,128,128,96,160,192,256,160,32,224,64,96,128,192
1138.41,128,256,256,160,64,160,256,32,192,160,32,192,224,32,256,64
1157.11,256,160,160,64,256,64,96,192,192,160,160,64,128,96,128,32
1141.83,224,160,192,128,64,256,64,160,64,96,192,160,160,96,256,32
1149.22,192,128,160,160,64,160,224,96,224,160,32,160,192,192,224,160
1195.47,96,160,160,224,128,128,192,160,160,32,64,192,32,96,256,128
1225.31,96,256,256,256,192,64,32,96,96,256,128,224,192,192,160,224
1164.39,192,64,160,128,64,224,64,128,128,32,32,96,224,128,32,96
1149.06,256,192,32,192,192,160,256,256,160,32,96,224,256,160,64,160
1218.52,160,192,64,96,256,128,128,256,128,64,224,224,192,128,32,32
