throughput,findClus,RawToDigi_kernel,kernelLineFit3,kernelLineFit4,kernel_connect,getHits,kernel_find_ntuplets,fishbone,clusterChargeCut,calibDigis,countModules,kernelFastFit3,kernelFastFit4,kernelFastFit5,kernelLineFit5,kernel_fillHitDetIndices,kernel_mark_used,finalizeBulk,kernel_earlyDuplicateRemover,kernel_countMultiplicity,kernel_fillMultiplicity,kernel_checkOverflows,initDoublets,kernel_classifyTracks,kernel_fishboneCleaner,kernel_fastDuplicateRemover,kernel_countHitInTracks,kernel_fillHitInTracks,kernel_tripletCleaner,kernel_doStatsForHitInTracks,kernel_doStatsForTracks
1213.45,128,128,96,192,192,160,32,128,96,128,160,128,128,160,192,128,64,128,32,64,224,160,160,256,96,256,256,224,64,160,256
1117.53,224,64,32,160,64,256,160,32,96,192,192,32,192,224,160,64,192,256,224,160,96,256,64,64,192,224,224,64,224,128,64
1185.09,96,160,224,32,192,64,256,192,224,96,160,256,128,96,32,128,128,160,96,160,160,32,192,64,32,256,224,224,96,192,224
1143.29,192,128,224,160,256,224,192,96,32,160,96,96,224,32,160,256,192,128,64,256,160,64,96,192,32,224,256,256,32,96,256
1189.64,96,192,160,256,64,32,64,64,256,256,96,192,32,64,256,64,96,96,64,256,32,224,160,96,32,160,32,96,192,160,128
1152.02,256,128,32,256,192,256,96,96,64,224,224,128,256,256,128,160,32,160,192,32,160,32,96,128,64,64,128,160,192,160,224
1198.15,128,256,32,96,128,128,64,32,160,256,224,128,224,32,160,64,128,160,32,64,96,192,128,96,160,256,192,32,32,96,224
1165.49,192,224,160,128,256,96,64,32,96,192,224,192,256,128,64,96,96,192,32,160,224,224,64,224,64,32,96,64,32,224,256
1184.0,128,128,128,64,64,224,96,64,64,160,160,128,96,224,96,224,96,192,64,224,192,224,256,224,32,128,256,128,128,256,192
1165.62,96,160,128,96,256,256,32,160,192,96,224,128,160,128,64,64,256,256,96,160,32,64,128,128,96,192,64,64,32,128,256
1141.16,256,160,96,128,256,128,192,32,128,224,160,128,192,32,192,256,160,160,192,256,32,224,128,96,96,160,96,224,192,128,96
1205.92,192,192,32,32,128,128,160,64,96,256,160,64,32,192,96,64,96,96,224,160,32,96,160,256,224,192,256,160,32,224,64
1194.96,192,32,96,256,256,32,64,256,32,160,32,224,256,192,32,160,256,32,256,96,32,224,96,96,64,224,96,96,64,32,32
1163.91,160,256,192,64,64,256,160,64,32,64,224,64,96,32,128,96,128,256,256,64,192,128,64,192,256,224,256,192,96,128,256
1169.54,160,224,32,32,64,192,224,224,128,64,128,192,192,160,224,224,64,32,64,64,160,128,256,128,64,32,192,224,256,128,32
1169.07,160,32,192,224,128,32,64,32,224,96,160,32,224,160,224,32,256,32,160,256,224,224,256,32,64,96,192,192,96,128,64
1196.95,160,256,32,192,192,64,256,192,64,192,160,192,96,64,160,32,224,256,128,96,256,64,224,256,224,64,32,64,160,256,192
1145.65,64,224,192,256,128,192,224,160,256,256,224,96,160,96,192,96,224,96,160,160,224,96,256,224,160,32,160,96,224,64,64
1146.99,224,224,128,96,64,192,96,224,256,128,128,160,192,64,224,96,96,128,96,256,128,224,128,96,128,224,96,192,32,32,64
