throughput,findClus,RawToDigi_kernel,kernelLineFit3,kernelLineFit4,kernel_connect,getHits,kernel_find_ntuplets,fishbone,clusterChargeCut,calibDigis,countModules,kernelFastFit3,kernelFastFit4,kernelFastFit5,kernelLineFit5,kernel_fillHitDetIndices,kernel_mark_used,finalizeBulk,kernel_earlyDuplicateRemover,kernel_countMultiplicity,kernel_fillMultiplicity,kernel_checkOverflows,initDoublets,kernel_classifyTracks,kernel_fishboneCleaner,kernel_fastDuplicateRemover,kernel_countHitInTracks,kernel_fillHitInTracks,kernel_tripletCleaner,kernel_doStatsForHitInTracks,kernel_doStatsForTracks
1155.7,256,32,96,256,256,96,128,64,256,128,224,128,192,32,224,128,160,160,256,96,96,64,128,96,192,160,128,64,160,128,64
1181.87,160,32,64,160,64,256,64,192,32,256,128,128,96,128,96,224,32,160,160,256,128,256,64,96,96,160,128,224,256,256,256
1166.68,64,224,224,32,256,64,96,32,160,32,32,192,160,96,256,32,128,256,224,32,96,224,160,256,128,128,32,128,256,224,32
1151.16,256,224,192,128,192,160,256,64,128,64,128,96,64,64,64,96,192,192,192,192,256,192,64,64,192,256,256,192,128,96,160
1132.65,64,256,64,96,192,224,256,32,32,32,128,192,224,256,96,224,160,256,128,160,128,96,128,32,96,160,192,160,256,32,256
1153.71,256,128,192,96,128,192,96,128,96,32,224,192,192,128,160,32,192,192,192,160,256,160,160,160,256,32,224,224,128,64,224
1201.4,128,224,192,128,64,64,160,160,32,64,160,224,96,128,32,192,32,128,64,192,256,160,128,192,256,32,192,224,128,32,224
1129.28,256,192,64,64,192,224,256,160,96,224,160,160,160,256,128,160,32,64,96,224,64,128,128,192,96,96,32,256,32,96,256
1203.21,96,32,64,160,128,160,64,128,192,160,160,256,224,96,64,160,192,128,32,128,64,256,192,192,160,192,128,64,224,96,32
1204.55,128,96,96,32,128,64,192,224,160,128,160,160,224,32,224,192,96,224,96,192,64,224,64,256,224,160,256,192,224,128,32
1150.57,224,224,160,192,256,192,128,128,96,160,96,32,224,256,32,192,128,224,192,192,256,224,256,160,128,256,32,224,64,96,96
1153.03,256,32,128,224,256,64,96,128,224,96,160,32,96,224,128,192,96,192,224,160,192,32,256,64,32,32,96,96,224,64,256
1172.18,64,256,96,160,192,96,192,32,96,96,256,96,256,224,96,256,224,96,64,64,32,32,224,128,64,224,160,128,224,256,64
1147.79,256,96,192,32,192,160,256,64,64,32,224,32,224,64,64,192,128,64,96,96,32,160,64,32,256,64,64,224,96,160,160
1187.18,192,32,256,192,256,96,128,160,96,64,256,160,64,160,96,128,160,256,32,96,32,64,128,96,64,64,96,128,128,32,256
1170.35,64,256,96,96,256,128,256,96,224,128,192,96,64,256,96,96,96,32,128,96,64,192,96,64,64,256,256,128,32,160,160
1157.89,192,128,128,160,256,128,192,32,96,224,32,256,160,96,32,96,32,192,96,256,128,128,160,32,64,256,32,192,192,256,64
1170.27,64,64,192,128,256,192,160,192,96,128,96,192,96,192,160,224,32,256,192,96,96,256,128,224,256,192,128,96,128,224,256
1180.38,64,64,256,192,256,32,256,160,32,96,64,128,160,128,224,256,96,96,224,160,224,96,192,128,224,192,64,64,192,32,192
1228.91,160,256,224,128,128,64,128,96,128,256,256,160,192,64,224,96,256,64,64,256,224,224,256,128,32,224,128,192,96,128,128
1194.27,160,96,128,96,128,224,32,128,32,64,160,256,256,256,64,96,192,32,192,32,64,224,64,32,96,64,256,96,192,64,96
1152.32,192,32,256,224,64,160,160,128,256,32,256,32,32,96,192,64,128,224,256,160,256,192,256,160,64,32,192,192,128,224,64
1170.83,96,256,256,224,64,192,256,224,128,192,64,160,32,224,160,224,256,192,256,192,64,192,32,256,256,128,160,64,32,64,64
1156.61,256,160,64,96,64,160,192,96,160,256,64,32,192,128,96,64,96,128,96,160,160,96,96,224,224,160,192,224,160,256,256
1178.45,256,256,224,160,128,64,128,256,160,32,96,128,160,256,128,128,192,256,160,32,192,192,64,96,224,256,160,96,128,192,160
1181.78,192,64,64,256,192,192,64,64,160,128,64,256,96,32,128,224,32,64,128,192,128,96,128,160,224,96,224,32,96,192,96
1177.62,64,160,192,224,128,96,128,32,160,160,32,256,192,96,128,128,160,192,96,96,32,96,96,96,192,64,128,64,32,160,160
1160.42,160,64,32,160,256,224,256,64,128,224,96,192,192,256,96,256,192,224,256,64,96,64,192,32,64,96,192,64,32,256,224
1167.18,128,224,192,224,128,256,64,64,224,192,128,224,256,128,128,96,224,224,128,128,192,96,128,64,128,128,256,128,96,192,192
1174.54,96,256,96,160,128,192,224,64,160,128,32,64,224,224,64,160,192,256,160,256,32,32,160,192,256,256,192,256,256,160,192
1195.37,96,192,192,96,128,192,96,256,160,192,192,256,160,224,224,256,128,192,128,32,32,160,64,32,256,224,224,96,224,224,96
1195.11,64,256,128,128,128,96,256,192,128,32,64,256,64,192,160,64,160,96,192,64,32,224,32,96,192,32,192,32,96,64,128
1164.6,96,96,160,96,192,256,192,96,64,160,160,96,256,32,256,128,256,96,224,192,224,160,160,192,160,128,128,192,32,160,256
1192.98,160,64,64,32,64,96,192,96,224,96,224,64,32,192,224,192,128,256,160,224,192,128,160,160,128,256,64,224,224,224,224
1165.03,256,128,224,128,192,32,256,192,128,96,160,64,256,192,160,96,224,160,96,96,96,96,128,192,128,192,256,160,96,32,96
1180.87,160,160,256,160,256,192,96,128,160,160,160,192,96,32,192,96,224,64,32,160,224,96,64,256,32,192,160,160,96,160,96
1176.04,256,32,192,96,64,32,32,64,128,96,128,128,64,224,128,192,96,64,256,64,224,32,192,64,160,224,128,256,256,160,64
1147.79,128,96,160,192,64,192,192,192,224,64,96,160,224,128,224,160,96,32,32,64,256,256,256,128,128,64,160,64,224,192,256
1192.76,96,64,64,32,64,96,160,192,256,64,224,160,256,192,256,64,96,192,64,160,64,32,128,128,128,128,128,256,32,160,256
1186.48,64,224,256,224,64,32,32,32,64,64,224,256,32,96,160,64,128,128,128,128,96,192,256,64,32,224,160,96,128,224,128
1115.01,256,224,160,96,192,224,256,192,160,96,64,96,128,64,160,128,224,192,32,96,160,128,96,64,64,160,32,64,96,160,256
1187.05,256,128,64,128,64,32,32,256,32,64,192,96,128,160,160,160,224,192,192,96,64,32,64,96,96,96,224,64,128,160,128
1177.08,192,224,160,96,256,64,96,96,256,192,128,96,32,32,224,128,160,224,128,128,64,192,256,96,224,192,192,128,32,64,192
1133.24,256,160,256,32,64,192,192,64,96,96,256,224,32,32,128,32,64,96,192,64,64,160,64,256,224,160,192,224,32,96,128
1169.66,128,160,128,160,192,64,192,32,192,224,256,160,64,64,32,192,32,64,96,224,256,256,256,160,256,192,96,224,96,256,192
1182.09,128,64,128,32,192,32,64,32,160,160,32,192,128,224,128,32,224,32,32,96,224,256,192,128,192,160,64,192,192,224,256
1190.82,64,128,128,160,256,32,64,224,160,32,128,192,256,96,192,32,96,32,224,192,192,192,224,192,160,96,160,192,32,128,224
1182.14,96,32,64,256,64,128,160,192,224,256,128,96,96,160,64,256,224,224,128,192,160,128,64,224,256,32,64,192,256,128,256
1213.93,96,224,256,256,64,96,96,160,64,160,96,192,32,256,256,128,64,160,64,64,64,256,128,32,256,96,64,64,64,32,128
1182.73,128,64,256,192,192,192,32,64,192,64,160,32,160,256,64,256,96,96,192,192,160,160,224,64,64,32,64,256,160,96,256
1166.99,96,256,256,192,256,128,224,32,32,224,32,160,32,64,192,224,192,160,256,32,160,192,224,64,192,192,128,192,160,64,96
1198.97,192,96,32,96,128,128,224,64,96,192,96,64,224,96,192,64,32,224,64,64,128,64,64,64,224,96,192,256,128,224,96
1135.18,160,128,256,32,64,224,192,32,128,256,224,224,128,96,160,32,192,256,64,32,64,96,160,128,64,64,128,128,256,128,128
1181.07,64,256,224,256,256,32,192,64,32,32,64,224,192,128,32,256,256,96,160,192,256,224,96,32,128,256,224,32,128,96,224
1156.19,224,64,224,128,64,96,192,160,32,192,160,96,128,224,224,224,256,224,192,192,32,128,192,224,160,32,192,160,192,192,64
1171.38,256,64,128,192,256,32,32,160,128,224,32,96,32,96,96,160,224,96,96,96,224,256,128,192,64,32,256,32,192,192,64
1158.32,160,256,160,160,256,192,224,128,160,224,32,256,32,96,96,64,32,224,192,192,96,128,32,128,256,96,96,224,192,160,96
1150.66,224,128,224,256,64,160,192,256,96,192,96,256,224,160,160,32,128,256,96,224,224,96,32,32,32,160,32,224,96,128,192
1153.57,256,256,192,160,256,96,192,128,160,224,160,160,96,96,192,64,96,96,160,224,256,96,64,256,256,224,96,96,192,192,160
1164.85,128,64,256,160,128,224,256,64,32,32,192,256,64,128,64,160,128,160,96,256,192,224,160,128,224,96,160,160,192,128,256
1217.25,96,64,256,32,128,64,32,96,192,128,256,96,256,128,256,256,32,128,192,160,128,32,96,128,96,256,64,224,96,192,192
1169.66,64,128,224,128,256,128,224,64,224,256,64,128,160,64,64,256,256,64,256,192,96,64,96,64,192,96,160,224,256,160,192
1198.3,96,160,64,160,192,128,224,192,32,32,256,160,64,256,256,128,128,32,224,32,160,160,32,96,224,64,64,32,96,128,96
1156.43,96,64,128,32,64,256,224,224,128,64,224,96,128,96,160,96,128,96,192,64,96,160,32,32,32,160,64,32,160,160,64
1179.08,96,96,128,64,64,160,96,32,32,32,160,160,256,128,192,64,224,160,160,96,32,32,224,256,32,96,192,256,32,192,192
1166.11,256,32,64,192,128,32,192,160,128,96,96,224,160,224,256,224,32,160,32,128,96,160,96,32,96,128,192,192,64,64,192
1179.84,64,32,192,256,64,32,32,128,192,256,192,96,224,64,64,32,192,64,192,96,224,192,128,256,32,32,224,128,224,128,128
1159.26,96,224,128,256,192,192,256,256,192,128,96,64,128,96,160,64,64,224,128,128,192,192,192,224,192,32,128,160,64,192,160
1169.65,224,32,256,32,128,128,256,192,96,96,224,256,192,96,32,160,32,160,192,160,160,32,192,32,256,64,160,128,192,64,96
1201.81,64,128,192,64,256,128,96,96,64,224,256,256,192,128,224,192,192,192,32,256,96,128,128,256,192,128,64,32,224,128,64
1149.38,256,32,160,192,256,128,192,192,64,160,128,160,224,256,128,128,224,192,224,64,224,160,64,256,64,32,64,96,96,256,192
1179.78,64,32,224,160,256,64,32,224,256,224,32,256,192,128,160,64,64,224,224,128,96,192,128,32,128,192,256,128,32,96,64
1188.33,192,96,224,224,128,64,128,64,192,128,32,160,192,224,32,256,96,32,64,128,256,32,64,224,256,160,64,160,224,96,160
1133.45,224,96,192,64,256,192,96,160,192,96,224,192,128,96,128,32,128,192,256,256,192,224,96,160,64,32,224,64,32,64,64
1148.92,224,64,96,192,64,160,256,192,64,96,128,32,32,160,192,128,256,256,224,256,128,256,96,192,128,224,128,32,64,256,224
1181.39,128,224,224,256,192,128,160,96,224,32,32,64,192,192,32,160,224,192,224,256,32,32,128,96,96,256,32,32,96,128,160
1179.17,160,224,32,160,256,32,224,192,160,160,192,160,192,160,32,160,256,96,32,64,160,256,224,256,96,192,256,64,64,160,64
1144.67,224,160,128,160,64,192,64,128,192,96,192,160,256,96,160,32,32,64,128,64,224,224,160,256,32,32,64,64,192,128,96
1143.28,256,128,192,256,256,64,160,160,256,96,32,64,96,64,32,128,192,32,192,32,96,192,64,128,64,128,128,128,128,160,224
1161.25,224,96,192,192,128,192,32,64,128,160,160,128,256,64,192,224,160,64,224,128,64,96,64,192,64,192,32,32,224,32,128
1134.47,192,256,192,160,64,224,256,256,128,128,160,32,64,224,192,224,224,256,256,128,224,256,256,96,256,96,192,224,192,160,96
1181.99,96,128,192,160,128,32,224,96,96,96,192,224,96,64,128,128,128,224,224,32,128,64,96,96,128,32,96,224,128,96,256
1147.44,256,160,224,256,192,160,192,256,96,64,160,160,224,32,64,32,96,160,256,160,64,224,224,128,64,192,64,192,64,128,96
1139.01,160,96,128,64,128,256,96,32,224,96,64,64,160,128,96,64,256,96,64,96,64,160,32,32,192,64,160,128,64,32,192
1150.36,192,96,32,128,192,224,64,160,224,192,160,160,256,160,160,224,224,96,224,32,224,64,160,256,96,160,160,32,160,128,64
1183.0,192,32,256,64,128,32,256,256,32,96,128,160,64,64,96,128,64,192,160,32,160,224,128,192,256,192,256,224,224,256,64
1152.45,160,160,224,64,192,192,256,64,224,224,96,32,32,128,64,96,160,224,160,256,32,128,64,32,96,192,160,192,160,224,192
1151.21,96,96,192,96,192,256,256,224,128,160,32,128,64,96,192,96,160,192,128,192,32,160,96,96,192,96,32,224,192,160,32
1170.38,64,96,256,160,64,32,160,32,96,256,64,256,160,224,96,256,160,128,224,64,64,160,64,160,64,64,224,96,32,256,192
1163.41,256,256,64,32,192,192,32,256,160,128,96,64,224,32,32,96,192,192,256,64,32,192,32,128,256,128,128,128,96,256,96
1215.8,64,96,96,96,192,32,32,256,32,192,64,192,256,256,160,256,96,192,64,224,64,160,32,96,192,128,160,128,128,256,64
1173.32,128,160,224,160,256,160,160,192,256,96,256,96,192,64,32,160,256,160,128,224,224,224,192,128,128,64,128,64,160,160,224
1208.28,128,160,256,32,256,160,96,256,128,160,224,160,96,64,160,96,32,32,64,96,192,192,128,96,160,160,64,192,160,96,64
1209.24,192,32,64,32,256,96,96,256,64,160,160,192,224,160,32,224,96,32,192,64,128,32,256,192,224,128,96,256,32,160,32
1208.04,160,96,128,256,128,32,128,128,160,64,32,224,32,64,96,32,224,64,32,96,96,224,256,96,256,160,32,160,64,192,64
1159.61,256,192,256,160,256,32,256,224,96,128,256,192,32,64,32,192,224,192,256,96,192,256,32,32,256,256,32,32,64,160,128
1129.88,128,64,256,128,64,256,192,32,224,32,64,192,64,224,224,224,192,96,192,256,128,192,96,224,32,224,96,192,96,64,160
1224.93,96,160,96,160,192,128,32,224,128,64,96,160,32,128,32,64,64,96,160,128,224,160,224,64,64,96,64,64,160,192,192
1230.23,128,64,224,64,192,64,32,64,64,32,160,224,96,64,160,32,128,64,96,160,32,256,32,128,224,160,192,192,64,192,160
1195.62,64,128,64,32,256,160,64,128,192,32,32,256,96,96,192,160,96,64,160,128,64,64,128,224,32,96,128,256,128,160,256
1195.41,192,96,224,96,256,32,32,128,160,256,256,256,160,128,256,128,32,96,256,96,32,128,224,64,192,64,96,224,64,192,160
1139.49,224,128,224,160,64,96,224,192,224,224,160,128,128,128,192,160,256,32,256,128,224,64,224,96,192,64,64,32,32,32,160
1209.78,192,96,96,256,128,96,64,160,128,64,160,128,160,160,224,128,224,160,32,128,128,64,64,160,192,256,192,128,256,128,192
1129.74,64,64,224,192,64,224,160,32,160,64,32,32,64,128,64,256,64,192,160,64,160,256,192,192,128,160,160,256,128,192,256
1191.54,224,224,32,32,128,64,128,64,32,160,224,128,32,32,256,64,224,32,160,32,224,128,192,128,32,224,128,192,96,96,64
1167.99,96,64,160,160,64,256,64,64,64,64,32,128,64,256,224,32,32,128,192,128,96,64,256,192,64,64,32,128,32,256,192
1187.64,160,224,192,32,192,64,32,32,160,192,224,96,256,192,32,96,256,32,256,160,32,224,224,160,96,224,32,192,160,224,96
1155.37,256,224,256,224,64,96,160,96,192,160,96,32,192,160,224,224,128,64,160,224,192,128,128,32,128,224,160,64,32,192,128
1180.18,192,32,128,96,192,64,128,160,256,192,64,160,224,96,224,256,96,224,32,32,96,160,32,192,96,256,224,192,96,64,256
1165.53,64,32,96,96,64,256,32,128,160,160,192,256,64,256,64,128,224,96,128,128,192,64,192,32,96,224,256,128,128,192,192
1201.69,96,192,64,128,128,96,160,192,256,160,32,224,64,96,128,192,224,32,96,96,256,64,192,224,32,160,64,160,160,96,32
1138.41,128,256,256,160,64,160,256,32,192,160,32,192,224,32,256,64,192,96,96,96,128,160,224,96,128,32,160,224,192,128,224
1157.11,256,160,160,64,256,64,96,192,192,160,160,64,128,96,128,32,192,64,160,32,96,64,64,256,32,128,256,128,224,160,64
1141.83,224,160,192,128,64,256,64,160,64,96,192,160,160,96,256,32,96,256,256,192,128,32,224,96,128,224,256,192,192,128,192
1149.22,192,128,160,160,64,160,224,96,224,160,32,160,192,192,224,160,224,96,128,160,64,96,96,192,256,96,32,192,192,32,96
1195.47,96,160,160,224,128,128,192,160,160,32,64,192,32,96,256,128,224,128,64,192,128,32,96,96,256,96,64,224,160,256,192
1225.31,96,256,256,256,192,64,32,96,96,256,128,224,192,192,160,224,128,256,192,256,256,64,256,224,256,160,96,224,128,192,128
1164.39,192,64,160,128,64,224,64,128,128,32,32,96,224,128,32,96,64,160,224,160,256,32,64,64,64,192,192,32,64,32,64
1149.06,256,192,32,192,192,160,256,256,160,32,96,224,256,160,64,160,224,224,192,64,192,160,32,192,256,128,32,96,128,96,224
1218.52,160,192,64,96,256,128,128,256,128,64,224,224,192,128,32,32,256,96,192,192,128,160,224,256,256,160,32,96,256,224,128
1155.83,256,192,192,96,128,64,256,64,160,192,256,128,64,32,32,96,192,128,32,224,96,96,224,224,160,160,128,160,32,224,64
1148.67,128,32,32,256,192,256,192,192,256,192,256,160,128,192,128,160,96,192,256,160,160,224,256,192,192,160,96,160,256,224,64
1190.86,96,128,128,128,192,32,256,96,32,128,160,224,96,256,32,160,256,224,224,64,64,160,32,160,32,32,160,192,32,256,96
1189.96,64,32,128,128,192,96,192,96,160,96,96,128,192,256,96,32,192,256,160,160,64,96,256,32,96,192,192,32,96,192,224
1201.02,96,224,128,96,128,192,96,96,128,64,128,32,192,256,256,224,128,64,32,128,192,64,192,32,96,96,160,192,224,32,128
1215.07,64,160,96,192,64,64,64,192,64,160,64,160,160,64,192,224,192,256,256,96,128,96,64,224,96,64,32,128,64,256,224
1158.2,256,160,224,32,192,192,128,224,96,224,224,128,192,128,192,160,64,224,64,128,224,64,256,32,160,256,224,192,64,128,224
1147.09,256,128,256,128,64,160,32,32,64,64,96,256,128,32,128,128,64,64,256,128,160,128,160,192,96,32,224,192,64,192,96
1217.03,128,32,96,96,256,64,128,96,64,192,64,192,224,160,256,128,160,128,128,96,64,32,32,96,64,224,64,256,32,160,32
1177.01,96,256,192,256,64,64,160,224,224,224,224,224,256,256,32,192,128,256,224,256,96,224,96,160,256,64,32,256,128,160,64
1151.91,64,256,64,256,64,192,192,160,224,256,128,96,96,96,32,64,224,192,192,192,256,64,224,224,160,256,256,32,32,32,192
1167.98,256,64,32,96,128,32,128,64,192,192,160,224,224,256,128,128,128,96,64,128,224,32,128,160,224,32,224,128,96,64,64
1156.65,192,256,256,160,64,256,64,64,64,192,128,160,128,64,32,32,96,128,96,192,192,128,192,192,96,160,128,96,32,32,128
1206.46,64,128,224,160,192,96,32,256,64,96,64,64,224,96,128,224,96,96,192,32,256,192,96,32,224,224,224,160,160,128,160
1150.18,64,128,96,224,64,192,128,32,160,192,128,256,256,192,224,256,96,32,192,32,64,224,64,128,192,192,96,128,96,64,64
1154.72,128,160,192,256,192,224,64,32,64,256,128,32,128,128,192,64,96,32,160,192,224,128,128,224,224,256,192,128,224,64,160
1223.14,96,96,96,32,192,64,96,160,128,192,192,192,128,128,192,32,224,128,160,192,256,224,224,224,160,128,256,128,64,192,128
1199.03,192,192,96,256,64,96,128,192,96,32,256,128,160,256,128,256,128,224,256,160,224,224,32,96,32,256,96,64,96,192,128
1175.98,192,160,256,32,256,160,192,64,32,128,32,32,128,32,96,96,160,96,192,160,64,160,64,160,224,128,224,32,224,256,224
1161.53,128,96,224,256,64,160,192,256,256,32,32,64,192,32,32,256,256,224,128,64,160,32,128,128,256,32,64,64,96,64,160
1158.32,256,96,256,64,256,128,192,224,32,224,256,192,160,64,96,256,64,32,64,96,224,32,192,96,160,256,192,32,128,32,160
1184.35,64,32,256,256,64,64,224,224,32,64,64,128,256,32,128,224,128,160,128,256,96,128,32,192,224,128,64,192,256,224,128
1190.91,192,192,64,32,192,64,96,192,256,128,256,64,128,192,64,256,96,224,192,192,64,32,160,192,256,64,160,192,224,224,192
1158.99,64,96,192,128,128,224,224,128,96,256,192,192,256,96,224,128,160,224,160,128,256,128,160,256,160,96,32,64,96,256,256
1150.5,256,96,64,256,64,224,96,160,96,224,64,32,160,224,192,160,224,224,256,64,96,192,128,192,32,64,96,224,224,128,32
1167.43,256,256,32,224,64,64,224,128,64,192,160,256,224,160,224,224,160,96,128,96,128,256,96,96,256,224,224,160,192,96,96
1172.06,192,96,96,192,128,256,128,192,96,224,96,64,64,64,256,128,64,256,128,96,256,128,128,32,32,128,160,160,192,192,160
1177.82,128,128,64,32,64,224,96,160,192,64,96,96,224,32,32,224,96,192,160,160,160,160,192,160,256,128,256,224,128,160,224
1192.93,96,160,256,32,256,64,32,32,160,96,224,32,224,32,64,224,192,256,96,64,224,32,32,128,256,192,32,160,256,160,96
1171.17,128,64,224,160,192,256,96,64,192,192,64,160,128,256,96,128,32,32,96,256,256,32,96,32,192,224,96,64,128,160,256
1201.14,64,160,192,160,64,32,64,192,96,256,32,160,192,160,224,160,32,192,64,128,160,96,160,64,64,32,224,96,256,160,32
1183.59,128,256,96,256,256,224,64,192,128,96,32,192,256,64,160,128,32,64,192,192,160,64,256,256,224,64,64,256,96,128,160
1134.84,64,64,128,32,256,224,96,32,224,96,64,160,256,64,192,64,64,64,64,192,96,256,256,128,64,160,64,224,96,128,64
1127.23,256,224,96,160,256,224,224,128,96,128,32,128,160,160,224,160,224,32,192,32,224,256,192,96,64,160,192,256,224,64,160
1196.27,96,96,32,128,128,256,96,160,64,32,256,224,64,64,256,128,64,64,128,160,32,32,192,192,256,224,32,32,96,96,256
1195.82,128,96,160,192,192,32,32,224,192,64,256,224,64,160,256,96,96,160,192,192,64,256,32,64,256,32,32,64,96,64,64
1157.33,256,192,128,128,128,160,160,160,224,256,128,32,160,32,32,32,96,96,224,96,64,96,64,64,256,224,128,96,128,224,32
1184.27,224,64,32,128,64,64,64,96,32,32,128,224,256,128,32,256,32,96,160,224,64,256,64,224,128,32,256,192,32,256,96
1225.74,128,96,128,224,256,64,32,224,96,160,224,128,224,96,32,160,192,256,192,96,96,160,64,256,192,160,64,256,224,256,64
1177.3,64,224,160,224,64,64,256,192,64,64,256,256,160,96,224,32,192,192,192,256,64,96,96,128,128,32,64,256,64,64,192
1175.0,128,256,96,224,256,256,64,192,32,160,32,160,256,160,192,128,96,64,96,96,128,224,64,160,96,32,32,160,128,128,64
1206.38,192,224,224,128,256,64,64,64,64,128,64,160,64,224,64,160,160,32,32,224,128,192,224,160,96,96,192,256,256,256,32
1122.69,224,192,256,32,64,224,64,224,256,96,32,96,256,256,96,64,64,96,256,64,96,160,32,64,128,32,32,224,96,192,192
1133.54,96,32,224,224,128,224,224,32,32,128,128,128,192,224,160,64,64,256,192,64,128,256,224,128,256,96,32,96,224,256,64
1171.89,224,32,256,64,192,32,96,128,160,160,256,96,96,224,32,64,96,128,96,224,128,96,128,32,192,32,192,32,96,256,64
1187.49,128,192,64,224,128,32,160,32,160,96,160,32,256,224,96,32,256,128,192,32,192,160,96,96,160,192,128,64,256,64,160
1148.67,256,256,256,192,128,96,256,224,224,128,96,96,224,224,256,224,64,224,96,224,64,128,32,32,160,64,224,192,64,192,224
1202.71,96,64,160,128,64,64,96,64,192,96,192,64,160,128,64,64,160,32,256,256,192,224,32,160,192,128,128,64,96,32,192
1178.45,128,128,256,256,128,128,224,64,256,192,256,192,256,192,128,64,192,224,256,96,192,224,96,64,160,224,32,128,160,256,64
1195.69,192,224,256,192,256,32,128,192,32,128,128,256,32,64,96,224,96,64,96,256,96,224,96,192,192,160,160,256,96,64,256
1148.04,256,160,192,192,128,192,32,160,192,64,192,256,128,64,32,192,128,64,128,256,96,160,96,192,192,192,32,128,160,160,224
1169.11,64,192,32,96,192,192,128,256,256,32,32,96,224,224,128,128,224,192,224,224,160,160,96,128,256,64,96,128,96,256,32
1183.67,64,224,32,224,128,224,64,128,96,192,160,32,160,32,256,256,64,32,32,128,96,192,64,256,256,256,96,192,224,32,224
1139.49,192,96,32,160,192,224,192,96,192,32,128,224,32,192,32,224,64,32,96,160,256,224,128,224,160,192,224,64,32,96,32
1125.0,64,192,224,256,256,224,224,32,32,96,224,256,160,128,192,256,32,32,160,224,224,64,160,128,160,256,192,64,64,224,64
1151.16,256,96,96,256,256,128,256,224,64,32,160,96,256,32,160,192,160,96,96,192,256,192,224,96,224,32,256,192,160,96,160
1217.51,96,160,224,64,64,64,32,96,64,128,96,160,96,64,192,64,128,224,32,96,128,256,128,64,96,64,224,64,256,128,128
1102.61,256,192,160,64,64,224,192,32,96,96,224,224,96,96,64,256,64,32,96,64,128,64,224,128,224,64,64,160,128,224,160
1139.8,96,32,192,256,64,224,256,256,160,32,160,256,224,224,224,160,192,224,160,256,128,224,64,256,128,64,32,32,160,224,192
1169.5,256,192,224,96,192,160,160,96,64,192,192,224,160,192,224,256,256,32,224,96,96,32,96,32,32,96,224,160,256,224,256
1165.35,256,32,96,224,128,192,64,160,32,160,32,128,96,64,64,128,224,224,128,96,160,128,192,192,256,224,224,96,160,128,32
1207.41,192,96,160,32,128,128,96,128,128,32,128,96,64,256,128,256,128,32,192,64,192,160,160,160,96,64,96,160,32,160,128
1187.65,192,96,192,64,128,32,96,128,160,160,192,96,32,256,64,32,160,192,32,160,128,192,64,64,32,32,256,192,64,224,32
1142.73,256,224,160,32,64,96,256,160,256,64,64,256,64,224,128,64,32,96,192,32,96,128,160,128,192,224,128,160,224,64,96
1124.64,192,128,224,192,256,256,256,192,192,32,32,256,224,32,64,96,128,224,96,256,224,32,256,32,256,160,128,224,96,224,192
1144.88,256,224,192,128,256,160,96,64,224,32,32,224,224,128,64,256,64,224,256,96,96,256,224,192,32,128,128,160,256,128,256
1128.48,192,96,224,192,256,224,192,128,256,192,160,128,32,96,224,160,256,128,96,256,160,128,256,64,256,96,64,160,256,192,192
1185.41,192,224,192,192,192,96,32,160,160,192,128,192,160,128,96,192,192,64,160,32,64,32,224,64,64,32,160,256,96,224,192
1175.4,256,160,32,256,128,160,160,256,64,160,64,256,96,128,192,160,224,96,192,64,160,160,96,224,160,224,224,160,64,192,96
1189.79,96,192,224,192,64,192,128,224,32,32,64,192,96,96,224,192,160,128,128,128,128,160,192,96,160,128,64,224,192,128,96
1161.84,192,256,192,96,192,32,160,256,256,192,32,256,160,224,160,224,96,64,224,96,192,160,192,96,256,32,192,224,160,192,96
1209.08,128,224,224,96,256,160,32,128,128,160,160,256,32,224,64,224,224,64,128,64,32,32,128,32,160,64,160,32,32,160,96
1196.3,192,64,96,192,128,96,192,224,32,256,224,128,160,128,128,224,160,224,96,64,256,192,128,32,128,96,160,32,64,160,64
1210.96,128,256,224,160,128,64,32,64,256,256,64,192,128,160,64,64,256,64,256,192,96,256,96,256,32,96,96,96,160,64,64
1154.14,192,96,96,160,256,32,192,160,224,192,192,128,192,128,128,64,224,96,192,32,64,32,192,32,32,32,128,96,192,256,96
1152.73,256,32,256,32,128,64,96,32,160,64,192,224,64,192,192,160,32,192,64,160,192,192,192,64,160,32,192,192,128,32,256
1166.71,224,128,160,64,192,32,64,160,192,224,192,192,96,192,64,32,64,128,128,128,32,160,32,64,128,192,128,192,160,256,160
1236.91,128,160,128,96,128,96,96,128,32,256,192,224,192,224,64,160,64,224,224,128,160,160,256,224,32,128,160,192,192,32,256
1130.03,96,32,32,128,64,224,160,32,160,128,96,64,128,160,128,32,96,96,32,224,96,224,256,160,128,32,256,128,256,96,96
1113.55,224,96,224,64,64,192,256,32,64,32,192,160,224,64,64,64,256,192,224,192,32,96,32,256,160,160,96,160,256,192,160
1138.41,128,192,256,32,256,224,32,32,192,32,160,160,224,224,96,128,96,32,64,160,192,160,160,256,32,96,64,256,224,224,192
1161.42,256,96,224,96,256,96,224,96,64,32,256,96,224,160,192,128,32,224,192,64,256,192,256,32,128,96,32,160,224,160,224
1165.65,96,64,32,192,192,256,192,192,64,160,32,192,32,160,128,64,96,160,224,192,32,256,96,32,160,128,64,32,96,32,192
1178.26,96,256,192,32,64,160,96,96,256,224,64,192,192,160,224,32,96,32,64,128,96,96,192,96,96,64,160,256,96,160,192
